group,die_index,image_path
H,31,../bueschelquinare_preprocessed/obverse/H/2300_a_cropped_graymasked.png
H,33,../bueschelquinare_preprocessed/obverse/H/3979_a_cropped_graymasked.png
H,70,../bueschelquinare_preprocessed/obverse/H/3976_a_cropped_graymasked.png
H,25,../bueschelquinare_preprocessed/obverse/H/3960_a_cropped_graymasked.png
H,62,../bueschelquinare_preprocessed/obverse/H/286_a_cropped_graymasked.png
H,50,../bueschelquinare_preprocessed/obverse/H/3313_a_cropped_graymasked.png
H,33,../bueschelquinare_preprocessed/obverse/H/3955_a_cropped_graymasked.png
H,57,../bueschelquinare_preprocessed/obverse/H/3980_a_cropped_graymasked.png
H,10,../bueschelquinare_preprocessed/obverse/H/290_a_cropped_graymasked.png
H,62,../bueschelquinare_preprocessed/obverse/H/3269_a_cropped_graymasked.png
H,50,../bueschelquinare_preprocessed/obverse/H/2294_a_cropped_graymasked.png
H,5,../bueschelquinare_preprocessed/obverse/H/177_a_cropped_graymasked.png
H,32,../bueschelquinare_preprocessed/obverse/H/168_a_cropped_graymasked.png
H,5,../bueschelquinare_preprocessed/obverse/H/176_a_cropped_graymasked.png
H,71,../bueschelquinare_preprocessed/obverse/H/3959_a_cropped_graymasked.png
H,10,../bueschelquinare_preprocessed/obverse/H/184_a_cropped_graymasked.png
H,9,../bueschelquinare_preprocessed/obverse/H/191_a_cropped_graymasked.png
H,10,../bueschelquinare_preprocessed/obverse/H/278_a_cropped_graymasked.png
H,73,../bueschelquinare_preprocessed/obverse/H/3944_a_cropped_graymasked.png
H,50,../bueschelquinare_preprocessed/obverse/H/3337_a_cropped_graymasked.png
H,0,../bueschelquinare_preprocessed/obverse/H/3246_a_cropped_graymasked.png
H,0,../bueschelquinare_preprocessed/obverse/H/3989_a_cropped_graymasked.png
H,47,../bueschelquinare_preprocessed/obverse/H/203_a_cropped_graymasked.png
H,43,../bueschelquinare_preprocessed/obverse/H/175_a_cropped_graymasked.png
H,58,../bueschelquinare_preprocessed/obverse/H/161_a_cropped_graymasked.png
H,39,../bueschelquinare_preprocessed/obverse/H/293_a_cropped_graymasked.png
H,50,../bueschelquinare_preprocessed/obverse/H/178_a_cropped_graymasked.png
H,25,../bueschelquinare_preprocessed/obverse/H/256_a_cropped_graymasked.png
H,58,../bueschelquinare_preprocessed/obverse/H/3964_a_cropped_graymasked.png
